HGNCID	Status	ApprovedSymbol	ApprovedName	PreviousSymbols	AliasSymbol	EnsemblGeneID	UCSCGeneID	RefSeqAccession	UniProtAccession
HGNC:53080	Approved	LINC02213	long intergenic non-protein coding RNA 2213			ENSG00000249160		NR_134289	
HGNC:53081	Approved	LINC02214	long intergenic non-protein coding RNA 2214			ENSG00000251311		NR_104678	
HGNC:53082	Approved	LINC02215	long intergenic non-protein coding RNA 2215			ENSG00000249128		NR_104998	
HGNC:53083	Approved	LINC02216	long intergenic non-protein coding RNA 2216			ENSG00000249551		XR_948698	
HGNC:53084	Approved	LINC02217	long intergenic non-protein coding RNA 2217			ENSG00000248455		NR_134274	
HGNC:53085	Approved	LINC02218	long intergenic non-protein coding RNA 2218			ENSG00000249662		NR_134270	
HGNC:53086	Approved	LINC02219	long intergenic non-protein coding RNA 2219			ENSG00000253787		NR_105003	
HGNC:53087	Approved	LINC02220	long intergenic non-protein coding RNA 2220			ENSG00000248457		XR_001742602	
HGNC:53090	Approved	LINC02221	long intergenic non-protein coding RNA 2221			ENSG00000250814		XR_925775	
HGNC:53091	Approved	LINC02222	long intergenic non-protein coding RNA 2222			ENSG00000248717		XR_941329	
HGNC:53092	Approved	LINC02223	long intergenic non-protein coding RNA 2223			ENSG00000249937		NR_134286	
HGNC:53093	Approved	LINC02224	long intergenic non-protein coding RNA 2224		BRCAT107|ENST00000505706	ENSG00000249203		NR_131946	
HGNC:53094	Approved	LINC02225	long intergenic non-protein coding RNA 2225			ENSG00000249584		NR_109900	
HGNC:53095	Approved	LINC02226	long intergenic non-protein coding RNA 2226			ENSG00000245729		NR_039984	
HGNC:53096	Approved	LINC02227	long intergenic non-protein coding RNA 2227			ENSG00000276778		NR_109888	
HGNC:53097	Approved	LINC02228	long intergenic non-protein coding RNA 2228			ENSG00000251273		XR_001742618	
HGNC:53098	Approved	LINC02229	long intergenic non-protein coding RNA 2229			ENSG00000250313		NR_105001	
HGNC:53099	Approved	LINC02230	long intergenic non-protein coding RNA 2230			ENSG00000251543		XR_948473	
HGNC:53100	Approved	LINC02231	long intergenic non-protein coding RNA 2231		RP11-766N7.4	ENSG00000248995			
HGNC:53103	Approved	LINC02232	long intergenic non-protein coding RNA 2232		RP11-707A18.1	ENSG00000250125		NR_033976	
HGNC:53104	Approved	LINC02233	long intergenic non-protein coding RNA 2233		RP11-6C14.1	ENSG00000250488			
HGNC:53105	Approved	LINC02234	long intergenic non-protein coding RNA 2234		RP11-455B3.1	ENSG00000248202			
HGNC:53106	Approved	LINC02235	long intergenic non-protein coding RNA 2235		RP11-354A14.1	ENSG00000254689			
HGNC:53107	Approved	LINC02236	long intergenic non-protein coding RNA 2236		RP11-332J15.1	ENSG00000249734			
HGNC:53108	Approved	LINC02237	long intergenic non-protein coding RNA 2237		RP11-1101K5.1	ENSG00000253434		XR_001746032	
HGNC:53116	Approved	LINC02238	long intergenic non-protein coding RNA 2238		RP4-788P17.1	ENSG00000223479			
HGNC:27969	Approved	LINC02239	long intergenic non-protein coding RNA 2239			ENSG00000248908		NR_037896	
HGNC:53118	Approved	LINC02240	long intergenic non-protein coding RNA 2240			ENSG00000260192		NR_109887	
HGNC:53126	Approved	LINC02241	long intergenic non-protein coding RNA 2241			ENSG00000251629		XR_925824	
HGNC:53127	Approved	LINC02242	long intergenic non-protein coding RNA 2242			ENSG00000249736		XR_001742690	
HGNC:53129	Approved	LINC02243	long intergenic non-protein coding RNA 2243		ENST00000441841	ENSG00000236091		NR_134925	
HGNC:53134	Approved	LINC02245	long intergenic non-protein coding RNA 2245		lnc-SERTAD2-3	ENSG00000237638		NR_036586	
HGNC:53135	Approved	LINC02246	long intergenic non-protein coding RNA 2246		ENST00000418954	ENSG00000281903		XR_001754961	
HGNC:53140	Approved	LINC02247	long intergenic non-protein coding RNA 2247		ENST00000417135	ENSG00000223729		XR_930414	
HGNC:53147	Approved	LINC02248	long intergenic non-protein coding RNA 2248			ENSG00000235160		XR_001751448	
HGNC:32351	Approved	LINC02249	long intergenic non-protein coding RNA 2249		DKFZp434L187	ENSG00000225930		NR_026771	
HGNC:53148	Approved	LINC02250	long intergenic non-protein coding RNA 2250		TCONS_00023273	ENSG00000235731		XR_001751755	
HGNC:53149	Approved	LINC02251	long intergenic non-protein coding RNA 2251			ENSG00000258483		XR_932694	
HGNC:53150	Approved	LINC02252	long intergenic non-protein coding RNA 2252			ENSG00000261304		XR_932097	
HGNC:53151	Approved	LINC02253	long intergenic non-protein coding RNA 2253			ENSG00000259485		XR_001751693	
HGNC:53152	Approved	LINC02254	long intergenic non-protein coding RNA 2254			ENSG00000259664		NR_120324	
HGNC:53153	Approved	LINC02255	long intergenic non-protein coding RNA 2255			ENSG00000277718		XR_932464	
HGNC:53157	Approved	LINC02256	long intergenic non-protein coding RNA 2256			ENSG00000261064		NR_102756	
HGNC:53159	Approved	LINC02257	long intergenic non-protein coding RNA 2257			ENSG00000238042			
HGNC:53165	Approved	LINC02258	long intergenic non-protein coding RNA 2258		RP11-248E9.5	ENSG00000257912			
HGNC:53172	Approved	LINC02259	long intergenic non-protein coding RNA 2259			ENSG00000259783		NR_135684	
HGNC:27956	Approved	LINC02260	long intergenic non-protein coding RNA 2260			ENSG00000250456		NR_134657	
HGNC:53173	Approved	LINC02261	long intergenic non-protein coding RNA 2261			ENSG00000249699		NR_125921	
HGNC:53174	Approved	LINC02262	long intergenic non-protein coding RNA 2262			ENSG00000224932		XR_001741522	
HGNC:53175	Approved	LINC02263	long intergenic non-protein coding RNA 2263			ENSG00000228358		XR_939106	
HGNC:53176	Approved	LINC02264	long intergenic non-protein coding RNA 2264			ENSG00000229565		XR_939111	
HGNC:53179	Approved	LINC02265	long intergenic non-protein coding RNA 2265			ENSG00000249241		NR_121640	
HGNC:53180	Approved	LINC02266	long intergenic non-protein coding RNA 2266			ENSG00000272727		XR_939277	
HGNC:53181	Approved	LINC02267	long intergenic non-protein coding RNA 2267			ENSG00000248510		XR_001741770	
HGNC:53183	Approved	LINC02268	long intergenic non-protein coding RNA 2268			ENSG00000248174		NR_125896	
HGNC:53184	Approved	LINC02269	long intergenic non-protein coding RNA 2269			ENSG00000250708		XR_001741460	
HGNC:53185	Approved	LINC02270	long intergenic non-protein coding RNA 2270			ENSG00000251210		NR_125910	
HGNC:53186	Approved	LINC02271	long intergenic non-protein coding RNA 2271			ENSG00000240152		XR_001741706	
HGNC:53187	Approved	LINC02272	long intergenic non-protein coding RNA 2272			ENSG00000251283		XR_001741902	
HGNC:53188	Approved	LINC02273	long intergenic non-protein coding RNA 2273			ENSG00000245954		NR_121628	
HGNC:53190	Approved	LINC02274	long intergenic non-protein coding RNA 2274			ENSG00000258586		NR_135238	
HGNC:53191	Approved	LINC02275	long intergenic non-protein coding RNA 2275			ENSG00000248319		NR_037878	
HGNC:53192	Approved	LINC02276	long intergenic non-protein coding RNA 2276			ENSG00000250141		XR_939260	
HGNC:53193	Approved	LINC02277	long intergenic non-protein coding RNA 2277			ENSG00000258487		XR_001750742	
HGNC:53194	Approved	LINC02278	long intergenic non-protein coding RNA 2278			ENSG00000251635		XR_001741508	
HGNC:53195	Approved	LINC02279	long intergenic non-protein coding RNA 2279			ENSG00000258933		XR_001750936	
HGNC:53196	Approved	LINC02280	long intergenic non-protein coding RNA 2280			ENSG00000260792		NR_135293	
HGNC:53197	Approved	LINC02281	long intergenic non-protein coding RNA 2281			ENSG00000257748		XR_001750692	
HGNC:53199	Approved	LINC02282	long intergenic non-protein coding RNA 2282			ENSG00000257056		NR_135255	
HGNC:53200	Approved	LINC02283	long intergenic non-protein coding RNA 2283			ENSG00000248184		XR_941052	
HGNC:53201	Approved	LINC02284	long intergenic non-protein coding RNA 2284			ENSG00000259719		XR_001750778	
HGNC:53202	Approved	LINC02285	long intergenic non-protein coding RNA 2285			ENSG00000259004		XR_245820	
HGNC:53203	Approved	LINC02286	long intergenic non-protein coding RNA 2286			ENSG00000258098		XR_001750669	
HGNC:53204	Approved	LINC02287	long intergenic non-protein coding RNA 2287			ENSG00000258499		NR_135253	
HGNC:27505	Approved	LINC02288	long intergenic non-protein coding RNA 2288			ENSG00000246548		NR_110554	
HGNC:53205	Approved	LINC02289	long intergenic non-protein coding RNA 2289			ENSG00000258819		NR_110553	
HGNC:53206	Approved	LINC02290	long intergenic non-protein coding RNA 2290			ENSG00000258502		XR_001750987	
HGNC:53207	Approved	LINC02291	long intergenic non-protein coding RNA 2291			ENSG00000197176		NR_033943	
HGNC:53208	Approved	LINC02292	long intergenic non-protein coding RNA 2292			ENSG00000258630		NR_110127	
HGNC:53209	Approved	LINC02293	long intergenic non-protein coding RNA 2293			ENSG00000257185		NR_110556	
HGNC:53210	Approved	LINC02294	long intergenic non-protein coding RNA 2294			ENSG00000257845		NR_110033	
HGNC:53211	Approved	LINC02295	long intergenic non-protein coding RNA 2295			ENSG00000258511		XR_944187	
HGNC:53212	Approved	LINC02296	long intergenic non-protein coding RNA 2296			ENSG00000258859		XR_001750848	
HGNC:53214	Approved	LINC02297	long intergenic non-protein coding RNA 2297			ENSG00000257504		NR_046104	
HGNC:53216	Approved	LINC02298	long intergenic non-protein coding RNA 2298			ENSG00000257556		NR_110546	
HGNC:53218	Approved	LINC02299	long intergenic non-protein coding RNA 2299			ENSG00000258979		XR_001750940	
HGNC:53219	Approved	LINC02300	long intergenic non-protein coding RNA 2300			ENSG00000258175		XR_001750690	
HGNC:53220	Approved	LINC02301	long intergenic non-protein coding RNA 2301			ENSG00000258743		XR_001750839	
HGNC:53221	Approved	LINC02302	long intergenic non-protein coding RNA 2302			ENSG00000258998		XR_245755	
HGNC:53222	Approved	LINC02303	long intergenic non-protein coding RNA 2303			ENSG00000258616		XR_001750747	
HGNC:53223	Approved	LINC02304	long intergenic non-protein coding RNA 2304			ENSG00000259110		XR_944181	
HGNC:53224	Approved	LINC02305	long intergenic non-protein coding RNA 2305			ENSG00000258532		XR_944093	
HGNC:53225	Approved	LINC02306	long intergenic non-protein coding RNA 2306			ENSG00000257986		XR_001750924	
HGNC:53226	Approved	LINC02307	long intergenic non-protein coding RNA 2307			ENSG00000258969		XR_943799	
HGNC:53227	Approved	LINC02308	long intergenic non-protein coding RNA 2308			ENSG00000258675		NR_109999	
HGNC:53228	Approved	LINC02309	long intergenic non-protein coding RNA 2309			ENSG00000258994		XR_944113	
HGNC:53229	Approved	LINC02310	long intergenic non-protein coding RNA 2310			ENSG00000258808		XR_943856	
HGNC:53230	Approved	LINC02311	long intergenic non-protein coding RNA 2311			ENSG00000258718		XR_944085	
HGNC:53231	Approved	LINC02312	long intergenic non-protein coding RNA 2312			ENSG00000258869		XR_001750872	
HGNC:53232	Approved	LINC02313	long intergenic non-protein coding RNA 2313			ENSG00000258474		XR_943725	
HGNC:53233	Approved	LINC02314	long intergenic non-protein coding RNA 2314			ENSG00000259082		NR_135240	
HGNC:53234	Approved	LINC02315	long intergenic non-protein coding RNA 2315			ENSG00000251363		NR_109757	
HGNC:53235	Approved	LINC02316	long intergenic non-protein coding RNA 2316			ENSG00000258912		XR_001750846	
HGNC:53236	Approved	LINC02317	long intergenic non-protein coding RNA 2317			ENSG00000258678		XR_429395	
HGNC:53237	Approved	LINC02318	long intergenic non-protein coding RNA 2318			ENSG00000258390		XR_001750864	
HGNC:53238	Approved	LINC02319	long intergenic non-protein coding RNA 2319			ENSG00000258694		XR_001750766	
HGNC:53239	Approved	LINC02320	long intergenic non-protein coding RNA 2320			ENSG00000258404		XR_001750895	
HGNC:53240	Approved	LINC02321	long intergenic non-protein coding RNA 2321			ENSG00000258884		XR_001750857	
HGNC:53241	Approved	LINC02322	long intergenic non-protein coding RNA 2322			ENSG00000258556		XR_245767	
HGNC:53242	Approved	LINC02323	long intergenic non-protein coding RNA 2323			ENSG00000259230		XR_944240	
HGNC:53244	Approved	LINC02324	long intergenic non-protein coding RNA 2324			ENSG00000255002		NR_103769	
HGNC:53245	Approved	LINC02325	long intergenic non-protein coding RNA 2325			ENSG00000246084		NR_110165	
HGNC:53246	Approved	LINC02326	long intergenic non-protein coding RNA 2326			ENSG00000257523		XR_001750704	
HGNC:53247	Approved	LINC02327	long intergenic non-protein coding RNA 2327			ENSG00000258038		XR_001750693	
HGNC:53248	Approved	LINC02328	long intergenic non-protein coding RNA 2328			ENSG00000258733		NR_110155	
HGNC:53249	Approved	LINC02329	long intergenic non-protein coding RNA 2329			ENSG00000258814		NR_135155	
HGNC:53250	Approved	LINC02330	long intergenic non-protein coding RNA 2330			ENSG00000258770		XR_944118	
HGNC:53251	Approved	LINC02331	long intergenic non-protein coding RNA 2331			ENSG00000235269		XR_001750967	
HGNC:53252	Approved	LINC02332	long intergenic non-protein coding RNA 2332			ENSG00000259054		XR_943591	
HGNC:53253	Approved	LINC02333	long intergenic non-protein coding RNA 2333			ENSG00000271564		NR_120400	
HGNC:53254	Approved	LINC02334	long intergenic non-protein coding RNA 2334			ENSG00000274317		XR_941877	
HGNC:53255	Approved	LINC02335	long intergenic non-protein coding RNA 2335			ENSG00000278630		XR_001749989	
HGNC:53256	Approved	LINC02336	long intergenic non-protein coding RNA 2336			ENSG00000271395		XR_931634	
HGNC:53257	Approved	LINC02337	long intergenic non-protein coding RNA 2337			ENSG00000215881		NR_135814	
HGNC:53258	Approved	LINC02338	long intergenic non-protein coding RNA 2338			ENSG00000277448		NR_120416	
HGNC:53259	Approved	LINC02339	long intergenic non-protein coding RNA 2339			ENSG00000279797		NR_134946	
HGNC:53260	Approved	LINC02340	long intergenic non-protein coding RNA 2340			ENSG00000275294		XR_001749799	
HGNC:53261	Approved	LINC02341	long intergenic non-protein coding RNA 2341			ENSG00000283554		NR_135319	
HGNC:53262	Approved	LINC02342	long intergenic non-protein coding RNA 2342			ENSG00000280580		XR_942053	
HGNC:53263	Approved	LINC02343	long intergenic non-protein coding RNA 2343			ENSG00000271850		XR_001749819	
HGNC:53264	Approved	LINC02344	long intergenic non-protein coding RNA 2344			ENSG00000227911		XR_941842	
HGNC:53267	Approved	LINC02345	long intergenic non-protein coding RNA 2345			ENSG00000259225		NR_120330	
HGNC:53268	Approved	LINC02346	long intergenic non-protein coding RNA 2346			ENSG00000206187		NR_040082	
HGNC:53269	Approved	LINC02347	long intergenic non-protein coding RNA 2347			ENSG00000214043		NR_130748	
HGNC:53270	Approved	LINC02348	long intergenic non-protein coding RNA 2348			ENSG00000273585		XR_001751731	
HGNC:53271	Approved	LINC02349	long intergenic non-protein coding RNA 2349			ENSG00000259284		XR_109203	
HGNC:53272	Approved	LINC02350	long intergenic non-protein coding RNA 2350			ENSG00000256927		XM_011539089	
HGNC:53273	Approved	LINC02351	long intergenic non-protein coding RNA 2351			ENSG00000277987		XR_001751699	
HGNC:53274	Approved	LINC02352	long intergenic non-protein coding RNA 2352			ENSG00000259448		NR_135834	
HGNC:53275	Approved	LINC02353	long intergenic non-protein coding RNA 2353			ENSG00000251329		NR_134672	
HGNC:53276	Approved	LINC02354	long intergenic non-protein coding RNA 2354			ENSG00000257488		XR_001749114	
HGNC:53277	Approved	LINC02355	long intergenic non-protein coding RNA 2355			ENSG00000248210		NR_125887	
HGNC:53278	Approved	LINC02356	long intergenic non-protein coding RNA 2356			ENSG00000257595		XR_945342	
HGNC:53279	Approved	LINC02357	long intergenic non-protein coding RNA 2357			ENSG00000283314		XR_001741634	
HGNC:53281	Approved	LINC02358	long intergenic non-protein coding RNA 2358			ENSG00000251256		XR_001741510	
HGNC:53280	Approved	LINC02359	long intergenic non-protein coding RNA 2359			ENSG00000256342		NR_110053	
HGNC:53282	Approved	LINC02360	long intergenic non-protein coding RNA 2360			ENSG00000248300		XR_925392	
HGNC:53283	Approved	LINC02361	long intergenic non-protein coding RNA 2361			ENSG00000256576		XR_158871	
HGNC:53284	Approved	LINC02362	long intergenic non-protein coding RNA 2362			ENSG00000249096		NR_125933	
HGNC:53286	Approved	LINC02363	long intergenic non-protein coding RNA 2363			ENSG00000180712		NR_040108	
HGNC:53288	Approved	LINC02364	long intergenic non-protein coding RNA 2364			ENSG00000250190		XR_001741644	
HGNC:53285	Approved	LINC02365	long intergenic non-protein coding RNA 2365		LVCAT8	ENSG00000254233		NR_131967	
HGNC:53289	Approved	LINC02366	long intergenic non-protein coding RNA 2366			ENSG00000256888		NR_120463	
HGNC:53290	Approved	LINC02367	long intergenic non-protein coding RNA 2367			ENSG00000260423		NR_120479	
HGNC:53291	Approved	LINC02368	long intergenic non-protein coding RNA 2368			ENSG00000256659		NR_104648	
HGNC:53292	Approved	LINC02369	long intergenic non-protein coding RNA 2369			ENSG00000256551		NR_104647	
HGNC:27885	Approved	LINC02370	long intergenic non-protein coding RNA 2370			ENSG00000230294		NR_103736	
HGNC:53293	Approved	LINC02371	long intergenic non-protein coding RNA 2371			ENSG00000274659		XR_001749432	
HGNC:53294	Approved	LINC02372	long intergenic non-protein coding RNA 2372			ENSG00000249873		NR_033970	
HGNC:53295	Approved	LINC02373	long intergenic non-protein coding RNA 2373			ENSG00000257507		XR_001749195	
HGNC:53296	Approved	LINC02374	long intergenic non-protein coding RNA 2374			ENSG00000249747		XR_001741951	
HGNC:53297	Approved	LINC02375	long intergenic non-protein coding RNA 2375			ENSG00000256362		NR_110057	
HGNC:53298	Approved	LINC02376	long intergenic non-protein coding RNA 2376			ENSG00000256292		XR_945523	
HGNC:53300	Approved	LINC02377	long intergenic non-protein coding RNA 2377			ENSG00000250102		XR_939198	
HGNC:53301	Approved	LINC02378	long intergenic non-protein coding RNA 2378			ENSG00000256994		XR_001749040	
HGNC:53302	Approved	LINC02379	long intergenic non-protein coding RNA 2379			ENSG00000251649		XR_244710	
HGNC:53303	Approved	LINC02380	long intergenic non-protein coding RNA 2380			ENSG00000248505		NR_125907	
HGNC:53304	Approved	LINC02381	long intergenic non-protein coding RNA 2381			ENSG00000250742		NR_026656	
HGNC:53305	Approved	LINC02382	long intergenic non-protein coding RNA 2382			ENSG00000250968		NR_134683	
HGNC:53306	Approved	LINC02383	long intergenic non-protein coding RNA 2383			ENSG00000248143		XR_925269	
HGNC:53308	Approved	LINC02384	long intergenic non-protein coding RNA 2384			ENSG00000251301		NR_120458	
HGNC:53309	Approved	LINC02385	long intergenic non-protein coding RNA 2385			ENSG00000257193		XR_945288	
HGNC:53312	Approved	LINC02386	long intergenic non-protein coding RNA 2386			ENSG00000257756		XR_931478	
HGNC:53313	Approved	LINC02387	long intergenic non-protein coding RNA 2387			ENSG00000256232		XR_242942	
HGNC:53315	Approved	LINC02388	long intergenic non-protein coding RNA 2388			ENSG00000257259		NR_120452	
HGNC:53316	Approved	LINC02389	long intergenic non-protein coding RNA 2389		FLJ41278	ENSG00000255693		NR_033988	
HGNC:53317	Approved	LINC02390	long intergenic non-protein coding RNA 2390			ENSG00000256582		XR_931347	
HGNC:53318	Approved	LINC02391	long intergenic non-protein coding RNA 2391			ENSG00000277851		XR_001749257	
HGNC:53319	Approved	LINC02392	long intergenic non-protein coding RNA 2392			ENSG00000258183		NR_135018	
HGNC:53320	Approved	LINC02393	long intergenic non-protein coding RNA 2393		FLJ37505	ENSG00000256597		NR_033987	
HGNC:53321	Approved	LINC02394	long intergenic non-protein coding RNA 2394			ENSG00000258332		XR_945095	
HGNC:53322	Approved	LINC02395	long intergenic non-protein coding RNA 2395			ENSG00000257771		NR_110048	
HGNC:27463	Approved	LINC02396	long intergenic non-protein coding RNA 2396			ENSG00000258135		NR_026948	
HGNC:53323	Approved	LINC02397	long intergenic non-protein coding RNA 2397			ENSG00000205056		XR_110328	
HGNC:53325	Approved	LINC02398	long intergenic non-protein coding RNA 2398			ENSG00000256287		NR_040098	
HGNC:53326	Approved	LINC02399	long intergenic non-protein coding RNA 2399			ENSG00000257725		NR_135019	
HGNC:53327	Approved	LINC02400	long intergenic non-protein coding RNA 2400			ENSG00000257784		NR_135040	
HGNC:53328	Approved	LINC02401	long intergenic non-protein coding RNA 2401			ENSG00000257762		NR_110103	
HGNC:53329	Approved	LINC02402	long intergenic non-protein coding RNA 2402			ENSG00000257510		NR_110042	
HGNC:53330	Approved	LINC02403	long intergenic non-protein coding RNA 2403			ENSG00000257541		NR_135022	
HGNC:53331	Approved	LINC02404	long intergenic non-protein coding RNA 2404			ENSG00000257893		XR_945199	
HGNC:53333	Approved	LINC02405	long intergenic non-protein coding RNA 2405			ENSG00000249345		NR_104646	
HGNC:53334	Approved	LINC02406	long intergenic non-protein coding RNA 2406			ENSG00000258144		XR_944853	
HGNC:53336	Approved	LINC02407	long intergenic non-protein coding RNA 2407			ENSG00000257219		XR_945111	
HGNC:53337	Approved	LINC02408	long intergenic non-protein coding RNA 2408			ENSG00000203585		NR_103861	
HGNC:53338	Approved	LINC02409	long intergenic non-protein coding RNA 2409			ENSG00000257920		XR_001749163	
HGNC:53339	Approved	LINC02410	long intergenic non-protein coding RNA 2410			ENSG00000258292		NR_135016	
HGNC:53340	Approved	LINC02411	long intergenic non-protein coding RNA 2411			ENSG00000256022		NR_120451	
HGNC:53341	Approved	LINC02412	long intergenic non-protein coding RNA 2412			ENSG00000258171		NR_120492	
HGNC:53342	Approved	LINC02413	long intergenic non-protein coding RNA 2413			ENSG00000257345		XR_945212	
HGNC:53343	Approved	LINC02414	long intergenic non-protein coding RNA 2414			ENSG00000256424		XR_945566	
HGNC:53344	Approved	LINC02415	long intergenic non-protein coding RNA 2415			ENSG00000248703		NR_135045	
HGNC:53345	Approved	LINC02416	long intergenic non-protein coding RNA 2416			ENSG00000257924		XR_001749106	
HGNC:53347	Approved	LINC02417	long intergenic non-protein coding RNA 2417			ENSG00000257048		XR_931555	
HGNC:53348	Approved	LINC02418	long intergenic non-protein coding RNA 2418			ENSG00000214039		NR_024457	
HGNC:53349	Approved	LINC02419	long intergenic non-protein coding RNA 2419			ENSG00000256906		XR_945551	
HGNC:53350	Approved	LINC02420	long intergenic non-protein coding RNA 2420			ENSG00000256172		XR_945041	
HGNC:53351	Approved	LINC02421	long intergenic non-protein coding RNA 2421			ENSG00000255970		NR_110063	
HGNC:53352	Approved	LINC02422	long intergenic non-protein coding RNA 2422			ENSG00000255760		NR_135029	
HGNC:53353	Approved	LINC02423	long intergenic non-protein coding RNA 2423			ENSG00000256750		NR_134998	
HGNC:53354	Approved	LINC02424	long intergenic non-protein coding RNA 2424			ENSG00000258220		NR_135021	
HGNC:53356	Approved	LINC02425	long intergenic non-protein coding RNA 2425			ENSG00000256259		XR_001749097	
HGNC:53357	Approved	LINC02426	long intergenic non-protein coding RNA 2426			ENSG00000257747		NR_110089	
HGNC:53358	Approved	LINC02427	long intergenic non-protein coding RNA 2427			ENSG00000271538		XR_939560	
HGNC:53359	Approved	LINC02428	long intergenic non-protein coding RNA 2428			ENSG00000248740		NR_125925	
HGNC:53360	Approved	LINC02429	long intergenic non-protein coding RNA 2429			ENSG00000251266		NR_133941	
HGNC:53361	Approved	LINC02430	long intergenic non-protein coding RNA 2430			ENSG00000250252		XR_001741884	
HGNC:53362	Approved	LINC02431	long intergenic non-protein coding RNA 2431			ENSG00000248872		NR_038838	
HGNC:53363	Approved	LINC02432	long intergenic non-protein coding RNA 2432			ENSG00000248810		NR_121625	
HGNC:27959	Approved	LINC02433	long intergenic non-protein coding RNA 2433			ENSG00000234111		NR_026992	
HGNC:53365	Approved	LINC02434	long intergenic non-protein coding RNA 2434			ENSG00000248370		XR_001741959	
HGNC:53366	Approved	LINC02435	long intergenic non-protein coding RNA 2435			ENSG00000251526		XR_001741811	
HGNC:53368	Approved	LINC02436	long intergenic non-protein coding RNA 2436			ENSG00000250754		XR_001741492	
HGNC:53369	Approved	LINC02437	long intergenic non-protein coding RNA 2437			ENSG00000248517		XR_001741949	
HGNC:53370	Approved	LINC02438	long intergenic non-protein coding RNA 2438			ENSG00000248238		XR_001741605	
HGNC:53371	Approved	LINC02439	long intergenic non-protein coding RNA 2439			ENSG00000255814		NR_134997	
HGNC:53372	Approved	LINC02440	long intergenic non-protein coding RNA 2440			ENSG00000255618		XR_945415	
HGNC:53373	Approved	LINC02441	long intergenic non-protein coding RNA 2441		CRAT8	ENSG00000256643		NR_131985	
HGNC:53374	Approved	LINC02442	long intergenic non-protein coding RNA 2442			ENSG00000256077		XR_945050	
HGNC:53375	Approved	LINC02443	long intergenic non-protein coding RNA 2443			ENSG00000256115		NR_120476	
HGNC:53376	Approved	LINC02444	long intergenic non-protein coding RNA 2444			ENSG00000258123		NR_110130	
HGNC:53377	Approved	LINC02445	long intergenic non-protein coding RNA 2445			ENSG00000257750		XR_001749109	
HGNC:53378	Approved	LINC02446	long intergenic non-protein coding RNA 2446			ENSG00000256039		XR_001749005	
HGNC:53379	Approved	LINC02447	long intergenic non-protein coding RNA 2447			ENSG00000245468		NR_027441	
HGNC:53380	Approved	LINC02448	long intergenic non-protein coding RNA 2448			ENSG00000257230		XR_945011	
HGNC:53381	Approved	LINC02449	long intergenic non-protein coding RNA 2449			ENSG00000215241		NR_120454	
HGNC:53382	Approved	LINC02450	long intergenic non-protein coding RNA 2450			ENSG00000257114		NR_135028	
HGNC:53383	Approved	LINC02451	long intergenic non-protein coding RNA 2451			ENSG00000257164		NR_135026	
HGNC:53384	Approved	LINC02452	long intergenic non-protein coding RNA 2452			ENSG00000283422		XR_945239	
HGNC:53392	Approved	LINC02453	long intergenic non-protein coding RNA 2453			ENSG00000245017		NR_038383	
HGNC:53387	Approved	LINC02454	long intergenic non-protein coding RNA 2454			ENSG00000256268		XR_945029	
HGNC:53388	Approved	LINC02455	long intergenic non-protein coding RNA 2455			ENSG00000256672		XR_001748952	
HGNC:53389	Approved	LINC02456	long intergenic non-protein coding RNA 2456			ENSG00000283052		XR_001749285	
HGNC:53393	Approved	LINC02457	long intergenic non-protein coding RNA 2457			ENSG00000258018		XR_001749339	
HGNC:53394	Approved	LINC02458	long intergenic non-protein coding RNA 2458			ENSG00000246363		NR_038385	
HGNC:53395	Approved	LINC02459	long intergenic non-protein coding RNA 2459			ENSG00000257476		XR_945371	
HGNC:53396	Approved	LINC02460	long intergenic non-protein coding RNA 2460			ENSG00000255714		XR_945412	
HGNC:53398	Approved	LINC02461	long intergenic non-protein coding RNA 2461			ENSG00000258331		XR_001749093	
HGNC:53399	Approved	LINC02462	long intergenic non-protein coding RNA 2462			ENSG00000251291		XR_939209	
HGNC:53400	Approved	LINC02463	long intergenic non-protein coding RNA 2463			ENSG00000257683		XR_001749337	
HGNC:53401	Approved	LINC02464	long intergenic non-protein coding RNA 2464			ENSG00000257677		XR_945120	
HGNC:53403	Approved	LINC02465	long intergenic non-protein coding RNA 2465			ENSG00000249618		XR_001741828	
HGNC:53405	Approved	LINC02466	long intergenic non-protein coding RNA 2466			ENSG00000246876		NR_110753	
HGNC:53404	Approved	LINC02467	long intergenic non-protein coding RNA 2467			ENSG00000256763		XR_001749371	
HGNC:53406	Approved	LINC02468	long intergenic non-protein coding RNA 2468			ENSG00000256499		XR_931411	
HGNC:53408	Approved	LINC02469	long intergenic non-protein coding RNA 2469			ENSG00000248408		XR_001741748	
HGNC:53409	Approved	LINC02470	long intergenic non-protein coding RNA 2470			ENSG00000225231		NR_104634	
HGNC:53410	Approved	LINC02471	long intergenic non-protein coding RNA 2471			ENSG00000223914		XR_944863	
HGNC:53411	Approved	LINC02472	long intergenic non-protein coding RNA 2472			ENSG00000248338		XR_925541	
HGNC:53412	Approved	LINC02473	long intergenic non-protein coding RNA 2473			ENSG00000261121		XR_001741616	
HGNC:53417	Approved	LINC02474	long intergenic non-protein coding RNA 2474			ENSG00000228437			
HGNC:53418	Approved	LINC02475	long intergenic non-protein coding RNA 2475		LVCAT1	ENSG00000251350		NR_131959	
HGNC:53419	Approved	LINC02476	long intergenic non-protein coding RNA 2476		LVCAT5	ENSG00000225546		NR_131962	
